Sigma_1,Sigma_2,Corr_Coeff,Rel_Error
3.0,0.5,0.25,0.01934958468588082
3.0,0.5,0.25,0.0411206332402176
3.0,0.5,0.25,0.021825932711779034
3.0,0.5,0.25,0.026115478947931228
3.0,0.5,0.25,0.024669940034641315
3.0,0.5,0.25,0.020315054882394344
3.0,0.5,0.25,0.011725528424008584
3.0,0.5,0.25,0.009005352142257726
3.0,0.5,0.25,0.05564333500486874
3.0,0.5,0.25,0.00511224531565621
3.0,0.5,0.25,0.00871730190482091
3.0,0.5,0.25,0.008303151778056423
3.0,0.5,0.25,0.01649634112667822
3.0,0.5,0.25,0.09315913834552712
0.5,1.0,0.25,0.0559561416242469
0.5,1.0,0.25,0.210878807747194
0.5,1.0,0.25,0.9686558481149252
0.5,1.0,0.25,0.055856047297852894
0.5,1.0,0.25,0.04780356900074667
0.5,1.0,0.25,0.023922448428498458
0.5,1.0,0.25,0.036406442544863055
0.5,1.0,0.25,0.2900327997075782
0.5,1.0,0.25,0.41477924104916286
0.5,1.0,0.25,0.021152011444169373
0.5,1.0,0.25,0.04793431955779828
0.5,1.0,0.25,0.10073355364757355
0.5,1.0,0.25,0.5035099254540626
0.5,1.0,0.25,0.051335449232936516
0.5,1.0,0.25,0.32066673270627927
0.5,1.0,0.25,0.06134320003610587
0.5,1.0,0.25,0.020455275853660675
0.5,1.0,0.25,0.02255766737743607
0.5,1.0,0.25,0.036423199848080574
0.5,1.0,0.25,0.024497210731177606
0.5,1.0,0.25,0.022905384728391914
0.5,1.0,0.25,0.4218482723848931
0.5,1.0,0.25,0.13147225011168998
0.5,1.0,0.25,0.35585569373965686
0.5,1.0,0.25,0.11494878183895613
1.0,1.0,0.25,0.007873766311632627
1.0,1.0,0.25,0.016413561493789842
1.0,1.0,0.25,0.008035952639448327
1.0,1.0,0.25,0.021347509725031046
1.0,1.0,0.25,0.027424454447924813
1.0,1.0,0.25,0.008107071328364922
1.0,1.0,0.25,0.03275805939429187
1.0,1.0,0.25,0.02041376759714869
1.0,1.0,0.25,0.025775973859743402
1.0,1.0,0.25,0.021085060665961324
1.0,1.0,0.25,0.030266700125376533
1.0,1.0,0.25,0.010590911867087176
1.0,1.0,0.25,0.011843285587852552
1.0,1.0,0.25,0.030397767563571456
1.0,1.0,0.25,0.02072444560210805
1.0,1.0,0.25,0.018808122579455328
1.0,1.0,0.25,0.030158097765569138
1.0,1.0,0.25,0.006199216818543254
1.0,1.0,0.25,0.01534364315062392
1.0,1.0,0.25,0.027107415753392473
1.0,1.0,0.25,0.021618809602351886
1.0,1.0,0.25,0.01698040744395907
1.0,1.0,0.25,0.031202309929680497
1.0,1.0,0.25,0.008593216301294452
1.0,1.0,0.25,0.01968371491808641
2.0,1.0,0.25,0.08020206128572818
2.0,1.0,0.25,0.08712915349257791
2.0,1.0,0.25,0.5280121108559689
2.0,1.0,0.25,0.9995240394284909
2.0,1.0,0.25,0.05671469197982002
2.0,1.0,0.25,0.3442383599517467
2.0,1.0,0.25,0.07132604753590009
2.0,1.0,0.25,0.9989096174815635
2.0,1.0,0.25,0.8353251258744252
2.0,1.0,0.25,0.3476736226398457
2.0,1.0,0.25,0.08466116926426719
2.0,1.0,0.25,0.45941524347397683
2.0,1.0,0.25,0.16778725528537583
2.0,1.0,0.25,0.16545390663512136
2.0,1.0,0.25,0.10736399836891652
2.0,1.0,0.25,0.05603358391288529
2.0,1.0,0.25,0.05593540845573985
2.0,1.0,0.25,0.5700159232983747
2.0,1.0,0.25,0.13251854018871448
2.0,1.0,0.25,0.09074199921918852
2.0,1.0,0.25,0.06874477404157125
2.0,1.0,0.25,0.08676607084136917
2.0,1.0,0.25,0.8463764130322433
2.0,1.0,0.25,0.773249828449863
